Zipcode,State,Land Area (sq mi),Center Point Lat,Center Point Lng
01940,MA,10.548,42.534146,-71.038333
01944,MA,9.229,42.576636,-70.767154
01945,MA,4.386,42.501835,-70.859126
01949,MA,13.454,42.606666,-71.010316
01950,MA,8.347999999999999,42.812358,-70.89109499999999
01951,MA,13.765,42.773351,-70.850211
01952,MA,15.404000000000002,42.844793,-70.841476
01960,MA,15.997,42.534279,-70.969782
01966,MA,6.992000000000001,42.640715,-70.620248
01969,MA,17.492,42.720873,-70.89121999999999
01970,MA,8.109,42.524435,-70.870859
01982,MA,14.185,42.626222999999996,-70.85723
01983,MA,11.923,42.641379,-70.94344
01984,MA,7.66,42.600633,-70.883303
01985,MA,13.450999999999999,42.799565,-70.964428
02019,MA,18.349,42.076682,-71.47449
02021,MA,18.797,42.175737,-71.125385
02025,MA,9.789,42.236422,-70.814435
02026,MA,10.244000000000002,42.246871999999996,-71.179462
02030,MA,15.119000000000002,42.234159999999996,-71.291167
02032,MA,2.34,42.156882,-71.216187
02035,MA,19.848,42.061338,-71.245802
02038,MA,26.631999999999998,42.084858000000004,-71.41057099999999
02043,MA,22.156999999999996,42.216097999999995,-70.88127
02045,MA,2.658,42.292253,-70.923919
02047,MA,0.239,42.133914000000004,-70.686037
02048,MA,20.101,42.017302,-71.21641
02050,MA,29.079,42.115139,-70.71033100000001
02052,MA,14.402000000000001,42.184599,-71.305307
02053,MA,11.543,42.156203000000005,-71.43034499999999
02054,MA,12.022,42.173103000000005,-71.36375600000001
02056,MA,14.869000000000002,42.113664,-71.33755500000001
02061,MA,20.941,42.164569,-70.818844
02062,MA,10.357999999999999,42.18736,-71.195955
02066,MA,16.927,42.202273,-70.758184
02067,MA,22.671999999999997,42.1076,-71.181828
02071,MA,0.97,42.103425,-71.273589
02072,MA,16.092,42.119006,-71.10365
02081,MA,17.921,42.146691,-71.27053199999999
02090,MA,10.895,42.219645,-71.216768
02093,MA,21.706999999999997,42.052671000000004,-71.356858
02108,MA,0.136,42.357758000000004,-71.064901
02109,MA,0.174,42.367032,-71.050493
02110,MA,0.184,42.361962,-71.04784599999999
02111,MA,0.27,42.350518,-71.059077
02113,MA,0.1,42.365331,-71.055233
02114,MA,0.45,42.363174,-71.068646
02115,MA,0.7090000000000001,42.337105,-71.105696
02116,MA,0.631,42.350578999999996,-71.076397
02118,MA,1.0959999999999999,42.337582,-71.070482
02119,MA,1.598,42.324028999999996,-71.08501700000001
02120,MA,0.621,42.33209,-71.09654499999999
02121,MA,1.745,42.306267,-71.085897
02122,MA,2.035,42.291413,-71.042158
02124,MA,3.003,42.285804999999996,-71.070571
02125,MA,2.1319999999999997,42.315682,-71.055555
02126,MA,2.082,42.274227,-71.09742299999999
02127,MA,2.023,42.334992,-71.03909300000001
02128,MA,4.851,42.361129,-71.006975
02129,MA,1.3519999999999999,42.379657,-71.061487
02130,MA,3.3339999999999996,42.309174,-71.113835
02131,MA,2.5869999999999997,42.284333000000004,-71.126228
02132,MA,4.561,42.280454999999996,-71.162017
02134,MA,1.3259999999999998,42.358016,-71.128608
02135,MA,2.635,42.349688,-71.153964
02136,MA,4.59,42.255083,-71.12921999999999
02138,MA,2.74,42.379637,-71.135152
02139,MA,1.558,42.362986,-71.103353
02140,MA,1.1540000000000001,42.392157,-71.133996
02141,MA,0.642,42.3703,-71.08256
02142,MA,0.278,42.361471,-71.081994
02143,MA,1.5430000000000001,42.381409000000005,-71.096714
02144,MA,1.082,42.399654999999996,-71.12255
02145,MA,1.396,42.391577000000005,-71.08991
02148,MA,5.045,42.42938,-71.058706
02149,MA,3.426,42.405938,-71.054649
02150,MA,2.208,42.396824,-71.031348
02151,MA,5.862,42.41829,-71.001251
02152,MA,1.972,42.373055,-70.974807
02155,MA,8.197000000000001,42.423840000000006,-71.10767299999999
02163,MA,0.099,42.366168,-71.12285
02169,MA,8.971,42.248385999999996,-71.002279
02170,MA,2.083,42.266415,-71.015576
02171,MA,2.452,42.293327000000005,-71.01819300000001
02176,MA,4.678999999999999,42.455723,-71.05901899999999
02180,MA,6.019,42.474208000000004,-71.097665
02184,MA,13.751,42.206188,-71.00232
02186,MA,13.014000000000001,42.241557,-71.082432
02188,MA,3.719,42.204578999999995,-70.957753
02189,MA,3.825,42.209776,-70.928189
02190,MA,7.117999999999999,42.166731,-70.952363
02191,MA,2.024,42.243453,-70.942033
02199,MA,0.057,42.347476,-71.082035
02203,MA,0.032,42.360588,-71.058737
02210,MA,0.965,42.347471999999996,-71.039271
02215,MA,0.765,42.347635,-71.103082
02301,MA,12.434000000000001,42.078371000000004,-71.042304
02302,MA,8.89,42.088907,-70.998375
02322,MA,4.291,42.132461,-71.054013
02324,MA,27.316999999999997,41.972387,-70.978778
02330,MA,37.41,41.878644,-70.74319799999999
02332,MA,23.738000000000003,42.044323999999996,-70.706073
02333,MA,17.209,42.037278,-70.94045899999999
02338,MA,16.003,42.002811,-70.863473
02339,MA,15.609000000000002,42.122956,-70.85631
02341,MA,15.055,42.050464,-70.867418
02343,MA,7.007000000000001,42.140244,-70.99734699999999
02346,MA,68.868,41.878004,-70.86926700000001
02347,MA,29.766,41.834412,-70.957163
02351,MA,9.655,42.119964,-70.957216
02356,MA,13.707,42.060532,-71.119676
02357,MA,0.48100000000000004,42.054978000000006,-71.080651
02359,MA,21.776999999999997,42.067803999999995,-70.805713
02360,MA,95.50200000000001,41.882056,-70.63129
02364,MA,18.657,41.987196000000004,-70.74194200000001
02366,MA,0.9470000000000001,41.850984000000004,-70.654984
02367,MA,14.674000000000001,41.9591,-70.80275300000001
02368,MA,10.076,42.176446,-71.051568
02370,MA,10.311,42.130399,-70.910615
02375,MA,14.568,42.003040999999996,-71.07692800000001
02379,MA,15.321,42.021617,-71.026717
02382,MA,6.94,42.078974,-70.93939
02420,MA,6.584,42.457055,-71.215464
02421,MA,9.85,42.438547,-71.239573
02445,MA,2.6039999999999996,42.325483,-71.13504499999999
02446,MA,1.287,42.343499,-71.122244
02451,MA,5.523,42.397825,-71.255701
02452,MA,3.699,42.392721,-71.213532
02453,MA,3.4989999999999997,42.369541999999996,-71.240513
02457,MA,0.16,42.299388,-71.274242
02458,MA,2.002,42.353584999999995,-71.188192
02459,MA,5.005,42.314778999999994,-71.192017
02460,MA,1.344,42.351824,-71.20849
02461,MA,1.455,42.317362,-71.206508
02462,MA,0.529,42.328708,-71.2559
02464,MA,0.565,42.312975,-71.218882
02465,MA,2.2430000000000003,42.348912,-71.22633
02466,MA,1.791,42.344457,-71.24861700000001
02467,MA,4.872,42.314321,-71.152778
02468,MA,1.48,42.328553,-71.22953000000001
02472,MA,4.031000000000001,42.369451,-71.177925
02474,MA,3.052,42.420949,-71.15637
02476,MA,2.094,42.415637,-71.17567
02478,MA,4.647,42.395317,-71.180284
02481,MA,5.64,42.311946999999996,-71.27551700000001
02482,MA,4.208,42.293099,-71.298535
02492,MA,9.527000000000001,42.276029,-71.24454300000001
02493,MA,16.825,42.360502000000004,-71.303433
02494,MA,2.767,42.299490000000006,-71.232519
02532,MA,14.259,41.751759,-70.59755200000001
02534,MA,2.286,41.668942,-70.619407
02535,MA,24.374000000000002,41.337961,-70.761674
02536,MA,27.680999999999997,41.596305,-70.56746700000001
02537,MA,12.097000000000001,41.728418,-70.435812
02538,MA,4.546,41.777476,-70.64214799999999
02539,MA,26.815,41.377655,-70.52208
